id_playlist,nome_playlist,total_musicas,data_criacao,data_ultima_atualizacao,id_usuario,descricao,tipo_playlist,data_coleta
3MFH4T8MoZ2cCCDYmaVxyr,Temples-Impala,17,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1DX1tyCD9QhIWF,Walk Like A Badass,75,,,9979qepe31nkz8uaknawmtpmd,Big riffs and pounding drums to help you strut the streets.,pública,2024-10-26 14:18:47.143364
3ouiqEz27UyPllucZ5SkYF,SYML Complete Collection,98,,,9979qepe31nkz8uaknawmtpmd,"<a href=""https://laylo.com/syml"">sign up for texts / emails </a> and be the first to receive tour updates, news and more. ",pública,2024-10-26 14:18:47.143364
37i9dQZF1DWTtTyjgd08yp,Deep Dark Indie,129,,,9979qepe31nkz8uaknawmtpmd,"Hauntingly atmospheric, deeply melodic indie.",pública,2024-10-26 14:18:47.143364
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,75,,,9979qepe31nkz8uaknawmtpmd,Welcome to Indie Rock Club. Cover: Arctic Monkeys,pública,2024-10-26 14:18:47.143364
37i9dQZF1DWTcqUzwhNmKv,Kickass Metal,75,,,9979qepe31nkz8uaknawmtpmd,Ice Nine Kills on top of today's best Metal playlist.,pública,2024-10-26 14:18:47.143364
37i9dQZF1DWUDoJcM4v6Tm,The Wilds,135,,,9979qepe31nkz8uaknawmtpmd,Explore a sprawling musical landscape.,pública,2024-10-26 14:18:47.143364
37i9dQZF1EIVaFbtaBqeTM,Mix Arcade Fire,50,,,9979qepe31nkz8uaknawmtpmd,"<a href=spotify:playlist:37i9dQZF1EIVXzyBTbEbi9>Grizzly Bear</a>, <a href=spotify:playlist:37i9dQZF1EIW4CMwrNEKYU>The Strokes</a> et <a href=spotify:playlist:37i9dQZF1EIZ8ndI0WrCY6>Bloc Party</a>",pública,2024-10-26 14:18:47.143364
7cBR7SYfcAuRrUuJGPwLG5,"Amor I Love You / Citação: Trecho da Obra Intitulada ""Primo Basilio"" De Eça de Queiroz Declamado por Arnaldo Antunes",1,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
2UMihsgllNwHSQOG3DPOKT,Pop 70/80/90/2000,37,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
0lk0yTLNv9WIxv4vCXXS17,Rildi ,127,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1E4zMtgqD40a8u,Metric Radio,50,,,9979qepe31nkz8uaknawmtpmd,"With Yeah Yeah Yeahs, Silversun Pickups, Sex Bob-Omb and more",pública,2024-10-26 14:18:47.143364
0PGWNo3QapRA17BVdcOKEq,Academia,1,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
3iiOVSnXseIxUHRVPaFPJe,Vibe Old,2,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1DX4OzrY981I1W,my life is a movie,100,,,9979qepe31nkz8uaknawmtpmd,every main character needs their soundtrack. ,pública,2024-10-26 14:18:47.143364
37i9dQZF1EJyXZEfj001kH,Guilherme + Sarah,50,,,9979qepe31nkz8uaknawmtpmd,A Blend of music for Sarah and Guilherme. Updates daily.,pública,2024-10-26 14:18:47.143364
37i9dQZEVXcRywU7m4Bpsv,Discover Weekly,30,,,9979qepe31nkz8uaknawmtpmd,Your weekly mixtape of fresh music. Enjoy new music and deep cuts picked for you. Updates every Monday.,pública,2024-10-26 14:18:47.143364
33LgtUcNLVW8rATpfWmyYq,la fiesta,261,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1EQpj7X7UK8OOF,Rock Mix,50,,,9979qepe31nkz8uaknawmtpmd,"<a href=spotify:playlist:37i9dQZF1EIYS14ng0OKCl>Kings of Leon</a>, <a href=spotify:playlist:37i9dQZF1EIXk8o8AHmtaH>Foo Fighters</a>, <a href=spotify:playlist:37i9dQZF1EIZc7axEaHIOA>Deftones</a> and more",pública,2024-10-26 14:18:47.143364
37i9dQZF1EIUATeZ7rQh0j,Mix Muse,50,,,9979qepe31nkz8uaknawmtpmd,"<a href=spotify:playlist:37i9dQZF1EIVkFSnMh0w5Z>The Killers</a>, <a href=spotify:playlist:37i9dQZF1EIUxpZQLLOs32>Queens of the Stone Age</a> et <a href=spotify:playlist:37i9dQZF1EIXxP4lZOF65z>Franz Ferdinand</a>",pública,2024-10-26 14:18:47.143364
37i9dQZF1EIXG7lA6kwwn2,Mix The Technicolors,50,,,9979qepe31nkz8uaknawmtpmd,"<a href=spotify:playlist:37i9dQZF1EIVlS4g4jEtra>Nothing But Thieves</a>, <a href=spotify:playlist:37i9dQZF1EIYVmaqZO6JlZ>Peach Pit</a> et <a href=spotify:playlist:37i9dQZF1EIXDboKR5nGZC>Wallows</a>",pública,2024-10-26 14:18:47.143364
37i9dQZF1E36rJOIPdxeQK,Daily Mix 2,50,,,9979qepe31nkz8uaknawmtpmd,"Tame Impala, Arctic Monkeys, Franz Ferdinand and more",pública,2024-10-26 14:18:47.143364
6Zko2S2c94QTf9Dk2RQQNk,Shelby Quinta Eletrônica 08/12/22,24,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1DXbyvJ0pcthaD,Wednesday Official Playlist,25,,,9979qepe31nkz8uaknawmtpmd,"Woe, what a playlist! Listen to music from and inspired by Wednesday, now streaming on Netflix.",pública,2024-10-26 14:18:47.143364
3gfmwfyZbcre5a144jDvpH,Antigas Internacionais,137,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
05Srekmy6s6p5WI2yimLcq,Featuring,79,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1DXe6bgV3TmZOL,Heavy Workout,100,,,9979qepe31nkz8uaknawmtpmd,"If your workout doubles as an outlet for your aggression, this is the playlist for you.",pública,2024-10-26 14:18:47.143364
6kwWabJ46XUlOU9axkJGdj,colaps,71,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1F0sijgNaJdgit,Your Top Songs 2022,101,,,9979qepe31nkz8uaknawmtpmd,Spotify Wrapped presents the songs that you loved most this year.,pública,2024-10-26 14:18:47.143364
37i9dQZF1DX4hpot8sYudB,Brown Noise,230,,,9979qepe31nkz8uaknawmtpmd,"Soothing, low frequencies for relaxation, meditation or sleep.",pública,2024-10-26 14:18:47.143364
37i9dQZF1DX0YKekzl0blG,Alternative 00s,80,,,9979qepe31nkz8uaknawmtpmd,All the indelible tunes from the other side of the 00s. Cover: LCD Soundsystem,pública,2024-10-26 14:18:47.143364
37i9dQZF1DX1uHCeFHcn8X,Soft 10s,250,,,9979qepe31nkz8uaknawmtpmd,Mellow songs from the 2010s. Cover: Adele,pública,2024-10-26 14:18:47.143364
37i9dQZF1DXaKgOqDv3HpW,Meditação e Relaxamento,186,,,9979qepe31nkz8uaknawmtpmd,"Respira, inspira... Uma seleção musical ideal para você relaxar.",pública,2024-10-26 14:18:47.143364
0mz9BjKsshfmt6SN3Nm00W,Minecraft Lofi Playlist ⛏️ [Chill Minecraft Lo-fi Hip-hop],251,,,9979qepe31nkz8uaknawmtpmd,"A collection of all of the greatest Minecraft lofi music. The Perfect Playlist for all your Chill Minecraft Lo-fi Needs. ⛏️ Play this mix while you mine, fish, craft and chill in Minecraft.",pública,2024-10-26 14:18:47.143364
4WDDU4niywNHUQ3TV98vQi,De mim,47,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1DX9wC1KY45plY,Classic Road Trip Songs,100,,,9979qepe31nkz8uaknawmtpmd,A soundtrack to fuel your good mood while on the road.,pública,2024-10-26 14:18:47.143364
7yw5yJs233XrRQepQS11oI,Churras #,5,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1EQqkOPvHGajmW,Indie Mix,50,,,9979qepe31nkz8uaknawmtpmd,"<a href=spotify:playlist:37i9dQZF1EIZDayGkQpE3M>Sir Chloe</a>, <a href=spotify:playlist:37i9dQZF1EIZPKihjjaCMa>girl in red</a>, <a href=spotify:playlist:37i9dQZF1EIX1iGmPR7NmX>alt-J</a> and more",pública,2024-10-26 14:18:47.143364
77d02dl6h8gwNTqlSxORro,Euphoria Lola's,85,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1E35bOX9wV8Xjw,Daily Mix 1,50,,,9979qepe31nkz8uaknawmtpmd,"cxlt., Blue Fox, Aisake and more",pública,2024-10-26 14:18:47.143364
0YvjGnF9bMiqzgoQtc6fZN,uns indie guei para chorar pq vc é uma vadia puta sozinha,271,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,100,,,9979qepe31nkz8uaknawmtpmd,Hop in.,pública,2024-10-26 14:18:47.143364
29DcZ4TbHKKq5SDUosYukX,Scream,38,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
31dUUVWOkoxqXeURqrysn7,Lewis Capaldi Complete,93,,,9979qepe31nkz8uaknawmtpmd,stick this on and have yourself a big fat sexy cry xox,pública,2024-10-26 14:18:47.143364
6Bgbj8Vbfi7pJ6JVFvhEvp,chelou,667,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1E8NWKE75TceZx,feelings are fatal Radio,50,,,9979qepe31nkz8uaknawmtpmd,"With mxmtoon, chloe moriondo, Egg and more",pública,2024-10-26 14:18:47.143364
1MmRXLk7tZWd7UwvRTCVBn,Sadstation ®,108,,,9979qepe31nkz8uaknawmtpmd,"Do not go, stay with me, tired of feeling like my life was nothing, we´re broken people, that&#x27;s Sadstation.",pública,2024-10-26 14:18:47.143364
2uOxtg4M03lwGl0foNJ8E1,7️⃣ Fritador de ovo - By FernandoSev7n,1416,,,9979qepe31nkz8uaknawmtpmd,insta: FernandoSev7n,pública,2024-10-26 14:18:47.143364
37i9dQZF1DZ06evO21WZHj,This Is Ghostemane,51,,,9979qepe31nkz8uaknawmtpmd,"This is Ghostemane. The essential tracks, all in one playlist.",pública,2024-10-26 14:18:47.143364
3MFH4T8MoZ2cCCDYmaVxyr,Temples-Impala,17,,,9979qepe31nkz8uaknawmtpmd,,pública,2024-10-26 14:18:47.143364
37i9dQZF1DX1tyCD9QhIWF,Walk Like A Badass,75,,,9979qepe31nkz8uaknawmtpmd,Big riffs and pounding drums to help you strut the streets.,pública,2024-10-26 14:18:47.143364
3ouiqEz27UyPllucZ5SkYF,SYML Complete Collection,98,,,9979qepe31nkz8uaknawmtpmd,"<a href=""https://laylo.com/syml"">sign up for texts / emails </a> and be the first to receive tour updates, news and more. ",pública,2024-10-26 14:18:47.143364
37i9dQZF1DWTtTyjgd08yp,Deep Dark Indie,129,,,9979qepe31nkz8uaknawmtpmd,"Hauntingly atmospheric, deeply melodic indie.",pública,2024-10-26 14:18:47.143364
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,75,,,9979qepe31nkz8uaknawmtpmd,Welcome to Indie Rock Club. Cover: Arctic Monkeys,pública,2024-10-26 14:18:47.143364
37i9dQZF1DWTcqUzwhNmKv,Kickass Metal,75,,,9979qepe31nkz8uaknawmtpmd,Ice Nine Kills on top of today's best Metal playlist.,pública,2024-10-26 14:18:47.143364
37i9dQZF1DWUDoJcM4v6Tm,The Wilds,135,,,9979qepe31nkz8uaknawmtpmd,Explore a sprawling musical landscape.,pública,2024-10-26 14:18:47.143364
